code,MAE_model,RMSE_model,MAE_garch,RMSE_garch
1216,0.00014242223402450443,0.0004426414539647557,0.0001562680021418319,0.0004614620198379916
1301,0.0004785102065706803,0.0011113325657486689,0.0005153412006808308,0.0011227210650618326
1303,0.000604080673291695,0.0013387421695240655,0.0006512083118673419,0.0013247412170812206
2002,0.00025597318390504137,0.0008650560817608553,0.00029799324942285295,0.0009349128875598488
2059,0.0013022168622296984,0.0021177436358268994,0.0012767209546143963,0.002090738021832369
2207,0.0002364120029221469,0.0006713793900092827,0.00027298386540624246,0.0006654402406023818
2301,0.0007127646383146607,0.001606939065601103,0.0007191078111246986,0.001417587743665486
2303,0.00034186669782811454,0.0008741796459567157,0.00037038676556515267,0.0009277809783310345
2308,0.0007242308072814838,0.0014597413693875478,0.0007136045093450855,0.0013598313933223063
2317,0.0006615179115754829,0.0015386409101985122,0.0006674221513077451,0.0014079231997606032
2327,0.0006288189875107724,0.001518837917986732,0.0006510332160422584,0.0013464844397490891
2330,0.00046699472491940395,0.0011067737185058329,0.0004892851997490983,0.0010682739882300078
2345,0.0009187481742685505,0.0016675671571135034,0.000955227552125385,0.0016353271396261262
2357,0.0006436815200243005,0.0015470387492122282,0.0006690822889223507,0.001494396762379152
2379,0.0004517102163422338,0.0010320691819998152,0.0004889786958793608,0.0010338971169934561
2382,0.0007781559818393031,0.0015071268256242251,0.0007559833657296136,0.0014637112421654233
2383,0.001135964733089884,0.001953681280946947,0.001156874386159428,0.0019405005588651056
2395,0.0003871746837384385,0.0010724395172924818,0.00041485094110975103,0.0009964965430973697
2412,8.920657583692079e-05,0.00013397161448018826,4.289587977355655e-05,0.00011800068030842627
2454,0.0006367067250282978,0.0012865692697357303,0.0006504327086993549,0.00123719418301006
2603,0.000716525881286015,0.0015356002958725554,0.0007258063919723671,0.0014796482462438641
2609,0.0008517424440896625,0.0018706765575046012,0.0008733635294256069,0.0017797610879546745
2615,0.0011423170250981149,0.002108006214413577,0.001080633905541608,0.00199150613764339
2880,0.00014511821034574228,0.0005791785749438301,0.00016229494368662524,0.000576717913386021
2881,0.00027617677068459876,0.00087424227468397,0.0002826316104235783,0.0008281959166688903
2882,0.00033785646213228517,0.0010391460752938043,0.00033757409189921403,0.0009381838602156783
2883,0.0003130201982245775,0.0010455082957078908,0.00030957812154187663,0.0009541360685636497
2884,0.00015448288971741327,0.0005986219852518363,0.009250939467849812,0.20675856852868327
2885,0.000278577053920342,0.0009274053725096937,0.0002641293491534792,0.0007988105608284805
2886,0.00012905038767057692,0.0005667270484239398,0.00013086374313905927,0.0005567172187177875
2887,0.00023988323549859435,0.0008631800148847886,0.00024218212452897214,0.0007916072971337081
2890,0.000199642717430912,0.0006877408749238071,0.00022153824762411522,0.0007152912349911074
2891,0.0002431521276291627,0.0008464128116882528,0.00028011659166615423,0.0008643376137073231
2892,0.00017983562956799676,0.0005286207670992714,0.00012086477302876241,0.0005248982939138425
2912,0.00011230948841377694,0.00034959056010197613,9.302535385074913e-05,0.0003243696282530953
3008,0.0005567373996297066,0.001383498545286901,0.0005547346861430156,0.0012108401662589401
3017,0.001462298284612656,0.0022767490500192993,0.0014355447047180831,0.002191594106916735
3034,0.00031425488872741293,0.000879509076621859,0.0003588210272361881,0.0009368889328215628
3045,0.00013289787308017092,0.0004025339050896605,0.00011905222311299155,0.00036324397893083984
3231,0.0007824382837902575,0.0015811604258358298,0.0007655133706667671,0.0014587691804585814
3661,0.0014488470172068306,0.0024146687410623725,0.0014745560442619373,0.0023763979191726917
4904,0.0001630317719580488,0.00034188210142852764,0.00015886335757778547,0.0003446871680378832
4938,0.0003959107050765383,0.001173712401088035,0.0003998525840902697,0.001083049282819379
5871,0.0004955718398753994,0.0012887916336014017,0.0004923589322667341,0.001227268636344559
5880,0.00012574821108448026,0.0006136815274939572,0.00011588597241733735,0.0006022336559945855
6505,0.0005056110950739805,0.0010898118954410763,0.0005501254652286338,0.001081947659580618
